Date, Open, High, Low, Close, Volume
20211130  16:15:00,3530.66,3534.0,3522.07,3524.71,303
20211130  16:20:00,3526.19,3531.81,3516.97,3516.97,197
20211130  16:25:00,3517.65,3525.5,3515.88,3521.54,190
20211130  16:30:00,3518.29,3528.07,3518.05,3524.1,104
20211130  16:35:00,3524.63,3527.78,3521.0,3521.61,105
20211130  16:40:00,3521.61,3523.99,3513.0,3520.29,211
20211130  16:45:00,3521.99,3522.46,3514.01,3520.72,199
20211130  16:50:00,3518.71,3521.83,3510.35,3512.95,151
20211130  16:55:00,3513.92,3516.85,3510.8,3516.27,149
20211130  17:00:00,3514.75,3514.75,3504.56,3509.99,125
20211130  17:05:00,3509.1,3510.0,3492.01,3495.63,289
20211130  17:10:00,3495.45,3503.41,3494.36,3497.55,147
20211130  17:15:00,3499.22,3508.66,3497.22,3508.66,116
20211130  17:20:00,3508.48,3510.29,3501.94,3508.68,137
20211130  17:25:00,3507.4,3510.25,3503.23,3505.11,124
20211130  17:30:00,3505.09,3508.5,3501.23,3505.29,108
20211130  17:35:00,3505.28,3508.25,3502.8,3504.83,79
20211130  17:40:00,3506.22,3508.76,3502.0,3506.79,143
20211130  17:45:00,3508.01,3508.06,3504.92,3506.11,64
20211130  17:50:00,3506.27,3514.53,3506.1,3511.9,172
20211130  17:55:00,3511.95,3512.02,3503.04,3504.15,53
20211130  18:00:00,3506.83,3508.27,3504.0,3504.33,86
20211130  18:05:00,3505.99,3511.22,3504.45,3510.0,78
20211130  18:10:00,3506.79,3507.13,3501.26,3503.09,95
20211130  18:15:00,3503.11,3507.64,3502.01,3504.3,49
20211130  18:20:00,3504.45,3505.04,3500.0,3502.1,208
20211130  18:25:00,3500.5,3503.71,3499.24,3501.82,93
20211130  18:30:00,3500.21,3507.21,3500.21,3506.12,185
20211130  18:35:00,3506.22,3515.38,3506.21,3515.25,167
20211130  18:40:00,3515.21,3515.21,3504.91,3507.21,109
20211130  18:45:00,3508.39,3510.0,3506.65,3508.0,58
20211130  18:50:00,3508.13,3515.85,3508.13,3515.85,90
20211130  18:55:00,3515.39,3520.99,3514.1,3520.99,105
20211130  19:00:00,3520.77,3521.86,3512.08,3516.02,159
20211130  19:05:00,3515.36,3517.32,3510.75,3515.87,83
